# timestamps [seconds],pts
92330.544592,382667
92330.553442,383247
92330.564471,383969
92330.569182,384278
92330.579025,384923
92330.588472,385542
92330.596287,386055
92330.605996,386691
92330.612997,387150
92330.620286,387627
92330.628303,388153
92330.636626,388698
92330.645348,389270
92330.652237,389721
92330.660668,390274
92330.668187,390767
92330.676230,391294
92330.684486,391835
92330.695229,392539
92330.700658,392895
92330.708584,393414
92330.716293,393919
92330.724228,394439
92330.734274,395098
92330.741542,395574
92330.748251,396014
92330.756485,396553
92330.765996,397176
92330.772929,397631
92330.782597,398264
92330.788372,398643
92330.796231,399158
92330.804555,399703
92330.813211,400271
92330.824381,401003
92330.830287,401390
92330.836200,401777
92330.844220,402303
92330.860555,403373
92330.868866,403918
92330.876380,404410
92330.890671,405347
92330.896809,405749
92330.906481,406383
92330.910721,406661
92330.916301,407027
92330.925202,407610
92330.932483,408087
92330.942024,408712
92330.948907,409164
92330.956484,409660
92330.964294,410172
92330.972263,410694
92330.980410,411228
92330.988965,411789
92330.996269,412267
92331.004421,412802
92331.012681,413343
92331.020624,413863
92331.031842,414599
92331.037016,414938
92331.044270,415413
92331.052476,415951
92331.060310,416464
92331.072563,417267
92331.080356,417778
92331.089001,418345
92331.096274,418821
92331.104385,419353
92331.112151,419862
92331.120201,420389
92331.128220,420915
92331.136363,421448
92331.144273,421967
92331.152328,422495
92331.160598,423037
92331.168195,423535
92331.176164,424057
92331.184223,424585
92331.192251,425111
92331.200264,425636
92331.208704,426189
92331.216512,426701
92331.224266,427209
92331.232173,427727
92331.240183,428252
92331.248155,428775
92331.256193,429302
92331.264187,429825
92331.272226,430352
92331.280253,430878
92331.288295,431405
92331.296173,431922
92331.304169,432446
92331.312168,432970
92331.322044,433617
92331.328258,434024
92331.336241,434547
92331.345675,435166
92331.352711,435627
92331.360269,436122
92331.368258,436646
92331.376193,437166
92331.384176,437689
92331.392186,438214
92331.400452,438756
92331.408181,439262
92331.416350,439797
92331.424265,440316
92331.433743,440937
92331.440281,441366
92331.448167,441883
92331.456660,442439
92331.464161,442931
92331.472236,443460
92331.480596,444008
92331.488661,444536
92331.496738,445066
92331.505024,445609
92331.522978,446785
92331.528260,447131
92331.540735,447949
92331.548726,448473
92331.557983,449079
92331.564298,449493
92331.572807,450051
92331.580266,450540
92331.588358,451070
92331.596381,451596
92331.604292,452114
92331.612189,452632
92331.621708,453256
92331.628355,453691
92331.636183,454204
92331.645418,454809
92331.652156,455251
92331.660296,455784
92331.668626,456330
92331.676201,456827
92331.684290,457357
92331.692488,457894
92331.700218,458401
92331.708288,458930
92331.716339,459457
92331.725030,460027
92331.732166,460494
92331.740603,461047
92331.748370,461556
92331.758070,462192
92331.764343,462603
92331.773052,463174
92331.780198,463642
92331.788294,464173
92331.796397,464704
92331.804346,465225
92331.812180,465738
92331.820210,466264
92331.832695,467083
92331.837596,467404
92331.844230,467839
92331.852357,468371
92331.860195,468885
92331.870587,469566
92331.880820,470236
92331.892626,471010
92331.900509,471527
92331.910811,472202
92331.916266,472559
92331.924245,473082
92331.935086,473793
92331.941332,474202
92331.948615,474679
92331.956864,475220
92331.966557,475855
92331.974950,476405
92331.980866,476793
92331.991507,477490
92331.996536,477820
92332.008980,478635
92332.016588,479134
92332.025237,479701
92332.039753,480652
92332.045175,481007
92332.057580,481820
92332.064582,482279
92332.073776,482882
92332.080894,483348
92332.098363,484493
92332.104794,484915
92332.117851,485770
92332.124903,486232
92332.129086,486507
92332.136786,487011
92332.144800,487536
92332.152280,488027
92332.160841,488588
92332.168614,489097
92332.177587,489685
92332.184271,490123
92332.193118,490703
92332.201764,491269
92332.209293,491763
92332.218157,492344
92332.227766,492974
92332.240212,493789
92332.247927,494295
92332.256561,494861
92332.266858,495535
92332.274516,496037
92332.280834,496451
92332.288662,496964
92332.298039,497579
92332.304289,497988
92332.312162,498504
92332.320292,499037
92332.328215,499556
92332.336161,500077
92332.344457,500621
92332.353484,501212
92332.363245,501852
92332.376080,502693
92332.383827,503201
92332.390919,503666
92332.411591,505021
92332.434475,506520
92332.451617,507644
92332.460970,508257
92332.477702,509353
92332.494377,510446
92332.501016,510881
92332.510959,511533
92332.516269,511881
92332.524315,512408
92332.532408,512938
92332.540206,513449
92332.548235,513975
92332.556570,514522
92332.564429,515037
92332.575826,515784
92332.582459,516218
92332.590039,516715
92332.596182,517118
92332.604381,517655
92332.612163,518165
92332.620244,518695
92332.634414,519623
92332.641505,520088
92332.648421,520541
92332.654992,520972
92332.662092,521437
92332.668263,521842
92332.676677,522393
92332.684480,522904
