Time_stamp,Electrodermal_activity
142.75,0.551988
143.0,0.551988
143.25,0.551988
143.5,0.554549
143.75,0.554549
144.0,0.554549
144.25,0.551988
144.5,0.553268
144.75,0.553268
145.0,0.554549
145.25,0.554549
145.5,0.553268
145.75,0.551988
146.0,0.550707
146.25,0.553268
146.5,0.554549
146.75,0.553268
147.0,0.553268
147.25,0.551988
147.5,0.554549
147.75,0.553268
148.0,0.554549
148.25,0.551988
148.5,0.554549
148.75,0.555830
149.0,0.554549
149.25,0.554549
149.5,0.554549
149.75,0.553268
150.0,0.553268
150.25,0.553268
150.5,0.554549
150.75,0.555830
151.0,0.553268
151.25,0.553268
151.5,0.551988
151.75,0.554549
152.0,0.554549
152.25,0.554549
152.5,0.554549
152.75,0.551988
153.0,0.555830
153.25,0.555830
153.5,0.555830
153.75,0.553268
154.0,0.554549
154.25,0.553268
154.5,0.555830
154.75,0.555830
155.0,0.555830
155.25,0.554549
155.5,0.554549
155.75,0.554549
156.0,0.554549
156.25,0.555830
156.5,0.555830
156.75,0.555830
157.0,0.554549
157.25,0.555830
157.5,0.557111
157.75,0.554549
158.0,0.554549
158.25,0.554549
158.5,0.555830
158.75,0.555830
159.0,0.557111
159.25,0.554549
159.5,0.554549
159.75,0.557111
160.0,0.557111
160.25,0.557111
160.5,0.554549
160.75,0.554549
161.0,0.555830
161.25,0.555830
161.5,0.555830
161.75,0.555830
162.0,0.554549
162.25,0.554549
162.5,0.555830
162.75,0.555830
163.0,0.557111
163.25,0.554549
163.5,0.554549
163.75,0.554549
164.0,0.555830
164.25,0.557111
164.5,0.555830
164.75,0.554549
165.0,0.554549
165.25,0.554549
165.5,0.557111
165.75,0.557111
166.0,0.557111
166.25,0.555830
166.5,0.557111
166.75,0.558391
167.0,0.557111
167.25,0.566076
167.5,0.555830
167.75,0.555830
168.0,0.557111
168.25,0.558391
168.5,0.558391
168.75,0.558391
169.0,0.555830
169.25,0.555830
169.5,0.557111
169.75,0.558391
170.0,0.557111
170.25,0.558391
170.5,0.557111
170.75,0.555830
171.0,0.558391
171.25,0.558391
171.5,0.558391
171.75,0.557111
172.0,0.557111
172.25,0.557111
172.5,0.559672
172.75,0.558391
173.0,0.558391
173.25,0.555830
173.5,0.555830
173.75,0.557111
174.0,0.558391
174.25,0.559672
174.5,0.558391
174.75,0.557111
175.0,0.557111
175.25,0.558391
175.5,0.558391
175.75,0.559672
176.0,0.558391
176.25,0.555830
176.5,0.557111
176.75,0.558391
177.0,0.558391
177.25,0.560953
177.5,0.558391
177.75,0.557111
178.0,0.558391
178.25,0.558391
178.5,0.559672
178.75,0.559672
179.0,0.557111
179.25,0.557111
179.5,0.555830
179.75,0.558391
180.0,0.559672
180.25,0.559672
180.5,0.557111
180.75,0.557111
181.0,0.557111
181.25,0.558391
181.5,0.558391
181.75,0.557111
182.0,0.557111
182.25,0.555830
182.5,0.557111
182.75,0.558391
183.0,0.559672
183.25,0.559672
183.5,0.557111
183.75,0.557111
184.0,0.558391
184.25,0.558391
184.5,0.558391
184.75,0.558391
185.0,0.555830
185.25,0.557111
185.5,0.558391
185.75,0.558391
186.0,0.559672
186.25,0.559672
186.5,0.557111
186.75,0.558391
187.0,0.558391
187.25,0.557111
187.5,0.559672
187.75,0.559672
188.0,0.557111
188.25,0.557111
188.5,0.558391
188.75,0.559672
189.0,0.558391
189.25,0.559672
189.5,0.558391
189.75,0.558391
190.0,0.557111
190.25,0.558391
190.5,0.560953
190.75,0.558391
191.0,0.557111
191.25,0.557111
191.5,0.558391
191.75,0.559672
192.0,0.559672
192.25,0.557111
192.5,0.557111
192.75,0.558391
193.0,0.559672
193.25,0.560953
193.5,0.557111
193.75,0.557111
194.0,0.559672
194.25,0.559672
194.5,0.559672
194.75,0.559672
195.0,0.558391
195.25,0.557111
195.5,0.558391
195.75,0.559672
196.0,0.560953
196.25,0.557111
196.5,0.557111
196.75,0.559672
197.0,0.559672
197.25,0.559672
197.5,0.557111
197.75,0.557111
198.0,0.559672
198.25,0.558391
198.5,0.559672
198.75,0.557111
199.0,0.557111
199.25,0.559672
199.5,0.559672
199.75,0.560953
200.0,0.558391
200.25,0.557111
200.5,0.559672
200.75,0.558391
201.0,0.558391
201.25,0.557111
201.5,0.557111
201.75,0.557111
202.0,0.558391
202.25,0.558391
202.5,0.559672
202.75,0.559672
203.0,0.559672
203.25,0.559672
203.5,0.560953
203.75,0.559672
204.0,0.559672
204.25,0.558391
204.5,0.560953
204.75,0.560953
205.0,0.562234
205.25,0.559672
205.5,0.559672
205.75,0.559672
206.0,0.560953
206.25,0.560953
206.5,0.558391
206.75,0.560953
207.0,0.559672
207.25,0.560953
207.5,0.559672
207.75,0.560953
208.0,0.558391
208.25,0.558391
208.5,0.558391
208.75,0.559672
209.0,0.559672
209.25,0.559672
209.5,0.558391
209.75,0.558391
210.0,0.560953
210.25,0.560953
210.5,0.560953
210.75,0.559672
211.0,0.558391
211.25,0.558391
211.5,0.560953
211.75,0.560953
212.0,0.560953
212.25,0.558391
212.5,0.559672
212.75,0.559672
213.0,0.560953
213.25,0.559672
213.5,0.559672
213.75,0.558391
214.0,0.558391
214.25,0.559672
214.5,0.560953
214.75,0.560953
215.0,0.560953
215.25,0.559672
215.5,0.559672
215.75,0.560953
216.0,0.560953
216.25,0.560953
216.5,0.560953
216.75,0.560953
217.0,0.560953
217.25,0.560953
217.5,0.559672
217.75,0.559672
218.0,0.558391
218.25,0.558391
218.5,0.560953
218.75,0.559672
219.0,0.560953
219.25,0.558391
219.5,0.558391
219.75,0.560953
220.0,0.560953
220.25,0.559672
220.5,0.558391
220.75,0.558391
221.0,0.559672
221.25,0.560953
221.5,0.560953
221.75,0.559672
222.0,0.558391
222.25,0.559672
222.5,0.560953
222.75,0.560953
223.0,0.559672
223.25,0.558391
223.5,0.559672
223.75,0.560953
224.0,0.560953
224.25,0.560953
224.5,0.559672
224.75,0.559672
225.0,0.559672
225.25,0.560953
225.5,0.560953
225.75,0.559672
226.0,0.559672
226.25,0.559672
226.5,0.559672
226.75,0.560953
227.0,0.560953
227.25,0.560953
227.5,0.562234
227.75,0.560953
228.0,0.560953
228.25,0.562234
228.5,0.560953
228.75,0.559672
229.0,0.563514
229.25,0.562234
229.5,0.562234
229.75,0.559672
230.0,0.559672
230.25,0.560953
230.5,0.562234
230.75,0.562234
231.0,0.559672
231.25,0.559672
231.5,0.560953
231.75,0.562234
232.0,0.562234
232.25,0.559672
232.5,0.559672
232.75,0.559672
233.0,0.562234
233.25,0.562234
233.5,0.562234
233.75,0.559672
234.0,0.558391
234.25,0.560953
234.5,0.560953
234.75,0.560953
235.0,0.559672
235.25,0.559672
235.5,0.560953
235.75,0.562234
236.0,0.560953
236.25,0.558391
236.5,0.559672
236.75,0.559672
237.0,0.562234
237.25,0.562234
237.5,0.562234
237.75,0.559672
238.0,0.559672
238.25,0.560953
238.5,0.562234
238.75,0.562234
239.0,0.559672
239.25,0.559672
239.5,0.560953
239.75,0.562234
240.0,0.562234
240.25,0.560953
240.5,0.559672
240.75,0.560953
241.0,0.560953
241.25,0.562234
241.5,0.560953
241.75,0.559672
242.0,0.559672
242.25,0.559672
242.5,0.562234
242.75,0.562234
243.0,0.560953
243.25,0.559672
243.5,0.562234
243.75,0.560953
244.0,0.562234
244.25,0.559672
244.5,0.562234
244.75,0.560953
245.0,0.559672
245.25,0.560953
245.5,0.559672
245.75,0.559672
246.0,0.560953
246.25,0.560953
246.5,0.562234
246.75,0.560953
247.0,0.559672
247.25,0.559672
247.5,0.562234
247.75,0.560953
248.0,0.562234
248.25,0.560953
248.5,0.559672
248.75,0.562234
249.0,0.563514
249.25,0.563514
249.5,0.559672
249.75,0.560953
250.0,0.562234
250.25,0.562234
250.5,0.562234
250.75,0.560953
251.0,0.560953
251.25,0.560953
251.5,0.562234
251.75,0.562234
252.0,0.563514
252.25,0.560953
252.5,0.560953
252.75,0.562234
253.0,0.563514
253.25,0.563514
253.5,0.560953
253.75,0.560953
254.0,0.563514
254.25,0.563514
254.5,0.563514
254.75,0.562234
255.0,0.563514
255.25,0.560953
255.5,0.563514
255.75,0.563514
256.0,0.562234
256.25,0.560953
256.5,0.563514
256.75,0.563514
257.0,0.563514
257.25,0.563514
257.5,0.560953
257.75,0.562234
258.0,0.563514
258.25,0.563514
258.5,0.563514
258.75,0.560953
259.0,0.563514
259.25,0.562234
259.5,0.563514
259.75,0.563514
260.0,0.563514
260.25,0.562234
260.5,0.562234
260.75,0.563514
261.0,0.563514
261.25,0.564795
261.5,0.563514
261.75,0.563514
262.0,0.562234
262.25,0.563514
262.5,0.563514
262.75,0.563514
263.0,0.563514
263.25,0.562234
263.5,0.563514
263.75,0.564795
264.0,0.564795
264.25,0.562234
264.5,0.562234
264.75,0.563514
265.0,0.564795
265.25,0.564795
265.5,0.564795
265.75,0.563514
266.0,0.563514
266.25,0.564795
266.5,0.564795
266.75,0.564795
267.0,0.562234
267.25,0.563514
267.5,0.564795
267.75,0.566076
268.0,0.566076
268.25,0.564795
268.5,0.563514
268.75,0.563514
269.0,0.564795
269.25,0.564795
269.5,0.564795
269.75,0.568637
270.0,0.564795
270.25,0.566076
270.5,0.566076
270.75,0.566076
271.0,0.566076
271.25,0.564795
271.5,0.564795
271.75,0.566076
272.0,0.566076
272.25,0.564795
272.5,0.563514
272.75,0.566076
273.0,0.566076
273.25,0.566076
273.5,0.566076
273.75,0.564795
274.0,0.566076
274.25,0.566076
274.5,0.566076
274.75,0.566076
275.0,0.566076
275.25,0.564795
275.5,0.564795
275.75,0.567356
276.0,0.567356
276.25,0.567356
276.5,0.564795
276.75,0.564795
277.0,0.567356
277.25,0.567356
277.5,0.567356
277.75,0.567356
278.0,0.564795
278.25,0.566076
278.5,0.567356
278.75,0.567356
279.0,0.567356
279.25,0.566076
279.5,0.564795
279.75,0.567356
280.0,0.567356
280.25,0.567356
280.5,0.564795
280.75,0.566076
281.0,0.566076
281.25,0.567356
281.5,0.567356
281.75,0.567356
282.0,0.566076
282.25,0.566076
282.5,0.567356
282.75,0.567356
283.0,0.567356
283.25,0.564795
283.5,0.569918
283.75,0.564795
284.0,0.567356
284.25,0.567356
284.5,0.568637
284.75,0.567356
285.0,0.566076
285.25,0.567356
285.5,0.568637
285.75,0.568637
286.0,0.566076
286.25,0.566076
286.5,0.566076
286.75,0.568637
287.0,0.568637
287.25,0.568637
287.5,0.568637
287.75,0.568637
288.0,0.568637
288.25,0.568637
288.5,0.568637
288.75,0.568637
289.0,0.566076
289.25,0.567356
289.5,0.568637
289.75,0.569918
290.0,0.568637
290.25,0.567356
290.5,0.567356
290.75,0.569918
291.0,0.569918
291.25,0.569918
291.5,0.567356
291.75,0.567356
292.0,0.571199
292.25,0.571199
292.5,0.569918
292.75,0.567356
293.0,0.569918
293.25,0.569918
293.5,0.571199
293.75,0.569918
294.0,0.567356
294.25,0.568637
294.5,0.568637
294.75,0.569918
295.0,0.571199
295.25,0.568637
295.5,0.568637
295.75,0.568637
296.0,0.571199
296.25,0.571199
296.5,0.568637
296.75,0.569918
297.0,0.569918
297.25,0.569918
297.5,0.571199
297.75,0.569918
298.0,0.568637
298.25,0.569918
298.5,0.569918
298.75,0.571199
