Time_stamp,Value
1603462635.59375,-39.61
1603462635.609375,-28.09
1603462635.625,-15.91
1603462635.640625,-4.23
1603462635.65625,6.08
1603462635.671875,14.59
1603462635.6875,21.20
1603462635.703125,25.96
1603462635.71875,29.01
1603462635.734375,30.44
1603462635.75,30.35
1603462635.765625,28.94
1603462635.78125,26.54
1603462635.796875,23.63
1603462635.8125,20.77
1603462635.828125,18.46
1603462635.84375,17.05
1603462635.859375,16.65
1603462635.875,17.17
1603462635.890625,18.42
1603462635.90625,20.14
1603462635.921875,22.11
1603462635.9375,24.12
1603462635.953125,25.95
1603462635.96875,27.37
1603462635.984375,28.12
1603462636.0,28.00
1603462636.015625,26.94
1603462636.03125,25.04
1603462636.046875,22.59
1603462636.0625,19.92
1603462636.078125,17.34
1603462636.09375,15.03
1603462636.109375,12.98
1603462636.125,11.08
1603462636.140625,9.25
1603462636.15625,7.46
1603462636.171875,5.80
1603462636.1875,4.34
1603462636.203125,3.12
1603462636.21875,2.02
1603462636.234375,0.88
1603462636.25,-0.48
1603462636.265625,-2.11
1603462636.28125,-3.93
1603462636.296875,-5.77
1603462636.3125,-7.46
1603462636.328125,-8.95
1603462636.34375,-10.36
1603462636.359375,-11.87
1603462636.375,-13.68
1603462636.390625,-15.91
1603462636.40625,-18.51
1603462636.421875,-21.31
1603462636.4375,-24.09
1603462636.453125,-26.63
1603462636.46875,-28.83
1603462636.484375,-30.76
1603462636.5,-32.63
1603462636.515625,-34.78
1603462636.53125,-37.58
1603462636.546875,-41.28
1603462636.5625,-45.91
1603462636.578125,-51.09
1603462636.59375,-56.09
1603462636.609375,-59.87
1603462636.625,-61.40
1603462636.640625,-59.86
1603462636.65625,-54.89
1603462636.671875,-46.71
1603462636.6875,-36.04
1603462636.703125,-23.92
1603462636.71875,-11.52
1603462636.734375,0.12
1603462636.75,10.18
1603462636.765625,18.14
1603462636.78125,23.79
1603462636.796875,27.19
1603462636.8125,28.60
1603462636.828125,28.41
1603462636.84375,27.01
1603462636.859375,24.80
1603462636.875,22.16
1603462636.890625,19.54
1603462636.90625,17.36
1603462636.921875,16.02
1603462636.9375,15.79
1603462636.953125,16.70
1603462636.96875,18.51
1603462636.984375,20.85
1603462637.0,23.34
1603462637.015625,25.69
1603462637.03125,27.74
1603462637.046875,29.42
1603462637.0625,30.62
1603462637.078125,31.20
1603462637.09375,30.95
1603462637.109375,29.80
1603462637.125,27.83
1603462637.140625,25.35
1603462637.15625,22.76
1603462637.171875,20.37
1603462637.1875,18.33
1603462637.203125,16.58
1603462637.21875,14.96
1603462637.234375,13.31
1603462637.25,11.60
1603462637.265625,9.88
1603462637.28125,8.22
1603462637.296875,6.60
1603462637.3125,4.95
1603462637.328125,3.16
1603462637.34375,1.22
1603462637.359375,-0.78
1603462637.375,-2.73
1603462637.390625,-4.54
1603462637.40625,-6.23
1603462637.421875,-7.94
1603462637.4375,-9.85
1603462637.453125,-12.07
1603462637.46875,-14.57
1603462637.484375,-17.23
1603462637.5,-19.90
1603462637.515625,-22.45
1603462637.53125,-24.82
1603462637.546875,-27.04
1603462637.5625,-29.21
1603462637.578125,-31.47
1603462637.59375,-34.07
1603462637.609375,-37.25
1603462637.625,-41.19
1603462637.640625,-45.81
1603462637.65625,-50.72
1603462637.671875,-55.22
1603462637.6875,-58.35
1603462637.703125,-59.21
1603462637.71875,-57.09
