Time_stamp,X,Y,Z
1603462596.375,18,26,53
1603462596.40625,18,26,53
1603462596.4375,19,26,53
1603462596.46875,17,26,54
1603462596.5,18,26,53
1603462596.53125,19,26,53
1603462596.5625,19,26,53
1603462596.59375,18,26,54
1603462596.625,18,26,53
1603462596.65625,18,26,53
1603462596.6875,18,26,53
1603462596.71875,18,26,54
1603462596.75,18,26,53
1603462596.78125,18,26,53
1603462596.8125,18,26,54
1603462596.84375,18,26,53
1603462596.875,18,26,53
1603462596.90625,18,26,54
1603462596.9375,18,26,53
1603462596.96875,18,26,53
1603462597.0,18,26,53
1603462597.03125,19,26,53
1603462597.0625,18,26,53
1603462597.09375,18,26,53
1603462597.125,18,26,53
1603462597.15625,18,26,53
1603462597.1875,18,26,53
1603462597.21875,18,26,53
1603462597.25,19,26,53
1603462597.28125,18,26,53
1603462597.3125,18,26,53
1603462597.34375,18,26,53
1603462597.375,18,26,53
1603462597.40625,18,26,53
1603462597.4375,18,26,53
1603462597.46875,18,26,53
1603462597.5,18,26,53
1603462597.53125,18,26,53
1603462597.5625,18,26,53
1603462597.59375,18,26,54
1603462597.625,18,26,54
1603462597.65625,18,26,53
1603462597.6875,18,26,53
1603462597.71875,19,26,54
1603462597.75,18,26,53
1603462597.78125,18,26,54
1603462597.8125,18,26,53
1603462597.84375,18,26,53
1603462597.875,18,26,53
1603462597.90625,18,26,53
1603462597.9375,18,26,53
1603462597.96875,18,26,53
1603462598.0,18,26,53
1603462598.03125,18,26,53
1603462598.0625,18,26,53
1603462598.09375,18,26,53
1603462598.125,18,26,54
1603462598.15625,18,26,53
1603462598.1875,18,26,53
1603462598.21875,18,26,54
1603462598.25,18,26,54
1603462598.28125,18,26,53
1603462598.3125,18,26,53
1603462598.34375,18,26,53
1603462598.375,18,26,53
1603462598.40625,18,26,53
1603462598.4375,18,26,53
1603462598.46875,18,26,53
1603462598.5,18,26,53
1603462598.53125,18,26,53
1603462598.5625,18,26,53
1603462598.59375,18,26,53
1603462598.625,18,26,53
1603462598.65625,18,26,53
1603462598.6875,18,26,53
1603462598.71875,18,26,53
1603462598.75,18,26,53
1603462598.78125,18,26,53
1603462598.8125,18,26,54
1603462598.84375,18,26,53
1603462598.875,18,26,54
1603462598.90625,18,26,53
1603462598.9375,18,26,54
1603462598.96875,18,26,54
1603462599.0,18,26,53
1603462599.03125,18,26,53
1603462599.0625,18,26,54
1603462599.09375,18,26,53
1603462599.125,18,26,53
1603462599.15625,18,26,54
1603462599.1875,18,26,54
1603462599.21875,18,26,53
1603462599.25,18,26,54
1603462599.28125,18,26,53
1603462599.3125,18,26,54
1603462599.34375,18,26,53
1603462599.375,18,26,53
1603462599.40625,18,26,54
1603462599.4375,18,26,54
1603462599.46875,18,26,53
1603462599.5,18,26,53
1603462599.53125,18,26,53
1603462599.5625,18,26,53
1603462599.59375,18,26,53
1603462599.625,18,26,54
1603462599.65625,18,26,53
1603462599.6875,18,26,53
1603462599.71875,18,26,53
1603462599.75,18,26,53
1603462599.78125,18,26,54
1603462599.8125,18,26,53
1603462599.84375,18,26,53
1603462599.875,18,26,53
1603462599.90625,18,26,54
1603462599.9375,18,26,53
1603462599.96875,18,26,53
1603462600.0,18,26,53
1603462600.03125,18,26,53
1603462600.0625,18,26,53
1603462600.09375,18,26,53
1603462600.125,18,26,53
1603462600.15625,18,26,53
1603462600.1875,18,26,54
1603462600.21875,18,26,53
1603462600.25,18,26,53
1603462600.28125,18,26,53
1603462600.3125,18,26,53
1603462600.34375,18,26,53
1603462600.375,18,26,53
1603462600.40625,18,26,53
1603462600.4375,18,26,53
1603462600.46875,19,26,53
1603462600.5,18,26,54
1603462600.53125,18,26,53
1603462600.5625,19,26,53
1603462600.59375,18,26,53
1603462600.625,18,26,53
1603462600.65625,18,26,53
1603462600.6875,18,26,54
1603462600.71875,18,26,54
1603462600.75,18,26,53
1603462600.78125,18,26,53
1603462600.8125,18,26,53
1603462600.84375,18,26,53
1603462600.875,18,26,54
1603462600.90625,18,26,53
1603462600.9375,18,26,53
1603462600.96875,19,26,53
1603462601.0,18,26,54
1603462601.03125,18,26,53
1603462601.0625,18,26,53
1603462601.09375,18,26,53
1603462601.125,18,26,53
1603462601.15625,18,26,53
1603462601.1875,18,26,53
1603462601.21875,19,26,54
1603462601.25,18,26,54
1603462601.28125,18,26,53
1603462601.3125,18,26,54
1603462601.34375,19,26,54
1603462601.375,17,26,52
1603462601.40625,17,26,52
1603462601.4375,22,26,56
1603462601.46875,16,26,52
1603462601.5,17,26,51
1603462601.53125,18,25,54
1603462601.5625,19,26,54
1603462601.59375,19,26,54
1603462601.625,19,26,54
1603462601.65625,17,25,52
1603462601.6875,20,25,54
1603462601.71875,18,25,53
1603462601.75,19,25,54
1603462601.78125,20,26,53
1603462601.8125,20,26,53
1603462601.84375,19,25,52
1603462601.875,19,26,54
1603462601.90625,18,25,53
